First Name,Last Name,ID,Salutation,Job Title,Department,Account Name,Account Description,Website,Email Address,Non Primary E-mails,Mobile,Office Phone,Home Phone,Other Phone,Fax,Primary Address Street,Primary Address City,Primary Address State,Primary Address Postalcode,Primary Address Country,Alt Address Street,Alt Address City,Alt Address State,Alt Address Postalcode,Alt Address Country,Status,Status Description,Lead Source,Lead Source Description,Description,Converted,Opportunity Name,Opportunity Amount,Referred By,Campaign ID,Do Not Call,Portal Name,Portal Application,Reports To ID,Assistant,Assistant Phone,Birthdate,Contact ID,Account ID,Opportunity ID,Assigned to,Assigned User,Date Created,Date Modified,Created By,Modified By,Deleted,Photo,Lawful Basis,Lawful Basis Date Reviewed,Lawful Basis Source,Geocode Status,Address,Longitude,Latitude
Tisha,Heger,112241d1-eb84-2364-e7dc-679ba5cd3e0d,,Mgr Operations,SAP,EEE Endowments LTD,,www.kidkid.org,section36@example.co.jp,,(965) 418-0725,(438) 740-3153,(926) 294-0129,,,,Sacramento,California,55189,USA,,,,,,Converted,,Direct Mail,,Would you be able to offer training on location or what remote offerings do you offer,1,,,,,0,,,,,,,2f711fba-5fee-34d9-7db5-679bb5ea1ee5,2fb724e8-dc8f-a8c2-bf43-679bb5a17f0f,,max,seed_max_id,04/19/2020 15:30,01/30/2025 17:24,1,1,0,,,,,,,,
Joan,Maust,123b2311-c45e-49d0-12f1-679ba56f1c6d,,Director Operations,QE,Max Holdings Ltd,,www.kidphone.cn,the.kid@example.net,,(651) 772-9328,(408) 982-7873,(134) 366-9759,,,9 IBM Path,Dover,Delaware,30799,USA,,,,,,Recycled,,Self Generated,,"Very interested in your product, can we arrange a discussion and demo",0,,,,,0,,,,,,,,,,chris,seed_chris_id,09/17/2023 08:45,01/30/2025 16:13,1,1,0,,,,,,,,
Heriberto,Bronstein,13b8b632-a0e7-5498-8903-679ba53015d9,,Senior Product Manager,SAP,AB Drivers Limited,,www.supporthr.org,im.sales@example.co.uk,,(012) 965-2281,(652) 426-9235,(473) 003-6248,,,999 Baker Way,Alabama,Alabama,36130,USA,,,,,,New,,Direct Mail,,Please let me know what shipping offers are available for your products,0,,,,,0,,,,,,,,,,sally,seed_sally_id,04-02-2024 13:45,01/30/2025 16:13,1,1,0,,,,,,,,
Lon,Towle,14c2f1ea-0ed9-1a82-b0d7-679ba5df5e3b,,IT Developer,Z-OS,JAB Funds Ltd.,,www.hrsupport.cn,vegan.section@example.tw,,(925) 932-8963,(018) 989-5301,(948) 218-7353,,,48920 San Carlos Ave,Ohio,Ohio,51321,USA,,,,,,In Process,,,,Please let me know more about what services you offer,0,,,,,0,,,,,,,,,,sarah,seed_sarah_id,12-10-2021 19:30,01/30/2025 16:13,1,1,0,,,,,,,,
Clare,Lamoreaux,15f909a3-865c-5da9-1e0d-679ba5cc9801,,President,Java Fullstack,First National S/B,,www.sectionhr.edu,dev.sales@example.com,,(743) 451-7527,(400) 189-3693,(243) 078-0459,,,555 Maple Street.,Salt Lake City,Utah,81670,USA,,,,,,New,,Existing Customer,,I am using an alternative product and would like to know how easy it would be to migrate to to your product,0,,,,,0,,,,,,,,,,max,seed_max_id,02/21/2023 19:30,01/30/2025 16:13,1,1,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a sample import file which provides an example of the expected contents of a file that is ready for import.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The file is a comma-delimited .csv file, using double-quotes as the field qualifier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
